id,team,year,seed,win,loss,final round,coach
1,Air Force,1960,NA,0,1,Round of 32 (1st rd),Bob Spear
1,Air Force,1962,NA,0,1,Round of 32 (1st rd),Bob Spear
1,Air Force,2004,11,0,1,Round of 64 (1st rd),Reed Peters
1,Air Force,2006,13,0,1,Round of 64 (1st rd),Jeff Bzdelik
2,Akron,1986,15,0,1,Round of 64 (1st rd),Bob Huggins
2,Akron,2009,13,0,1,Round of 64 (1st rd),Keith Dambrot
3,Alabama,1975,NA,0,1,Round of 32 (1st rd),C.M. Newton
3,Alabama,1976,NA,1,1,Sweet Sixteen (2nd rd),C.M. Newton
3,Alabama,1982,4,1,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1983,6,0,1,Round of 64 (1st rd),Wimp Sanderson
3,Alabama,1984,9,0,1,Round of 64 (1st rd),Wimp Sanderson
3,Alabama,1985,7,2,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1986,5,2,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1987,2,2,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1989,6,0,1,Round of 64 (1st rd),Wimp Sanderson
3,Alabama,1990,7,2,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1991,4,2,1,Sweet Sixteen (3rd rd),Wimp Sanderson
3,Alabama,1992,5,1,1,Round of 32 (2nd rd),Wimp Sanderson
3,Alabama,1994,9,1,1,Round of 32 (2nd rd),David Hobbs
3,Alabama,1995,5,1,1,Round of 32 (2nd rd),David Hobbs
3,Alabama,2002,2,1,1,Round of 32 (2nd rd),Mark Gottfried
3,Alabama,2003,10,0,1,Round of 64 (1st rd),Mark Gottfried
3,Alabama,2004,8,3,1,Elite Eight (4th rd),Mark Gottfried
3,Alabama,2005,5,0,1,Round of 64 (1st rd),Mark Gottfried
3,Alabama,2006,10,1,1,Round of 32 (2nd rd),Mark Gottfried
4,Alabama State,2001,16,0,1,Round of 64 (1st rd),Rob Spivery
4,Alabama State,2004,16,0,1,Round of 64 (1st rd),Rob Spivery
4,Alabama State,2009,16,0,1,Preliminary Round (0th rd),Lewis Jackson
5,Alcorn State,1980,8,1,1,Round of 32 (2nd rd),Davey Whitney
5,Alcorn State,1982,11,0,1,Round of 64 (1st rd),Davey Whitney
