"season","daynum","wteam","lteam","pct_both_tourney","id"
"A",77,519,762,0.019,"A_519_762"
"A",77,530,749,0.18,"A_530_749"
"A",77,534,696,0.012,"A_534_696"
"A",77,536,613,0.017,"A_536_613"
"A",77,540,610,0.009,"A_540_610"
"A",77,547,833,0.002,"A_547_833"
"A",77,554,850,0.003,"A_554_850"
"A",77,561,517,0.001,"A_517_561"
"A",77,568,598,0.002,"A_568_598"
"A",77,580,797,0.001,"A_580_797"
"A",77,587,714,0.006,"A_587_714"
"A",77,597,502,0.02,"A_502_597"
"A",77,603,717,0.086,"A_603_717"
"A",77,608,734,0.001,"A_608_734"
"A",77,632,773,0.013,"A_632_773"
"A",77,636,782,0.093,"A_636_782"
"A",77,641,578,0.022,"A_578_641"
"A",77,653,658,0.004,"A_653_658"
"A",77,660,622,0.05,"A_622_660"
"A",77,661,832,0.07,"A_661_832"
"A",77,676,721,0.026,"A_676_721"
"A",77,683,665,0.003,"A_665_683"
"A",77,685,804,0.002,"A_685_804"
"A",77,687,682,0.014,"A_682_687"
"A",77,693,523,0.001,"A_523_693"
"A",77,695,809,0.016,"A_695_809"
"A",77,699,727,0.015,"A_699_727"
"A",77,701,557,0.014,"A_557_701"
"A",77,724,565,0.002,"A_565_724"
"A",77,740,645,0.001,"A_645_740"
"A",77,790,792,0.015,"A_790_792"
"A",77,800,826,0.002,"A_800_826"
"A",77,817,757,0.003,"A_757_817"
"A",77,821,754,0.281,"A_754_821"
"A",77,822,756,0.006,"A_756_822"
"A",77,831,599,0.056,"A_599_831"
"A",77,839,743,0.035,"A_743_839"
"A",77,844,574,0.22,"A_574_844"
"A",77,847,692,0.001,"A_692_847"
"A",77,848,553,0.002,"A_553_848"
"A",77,851,654,0.011,"A_654_851"
"A",77,852,824,0.016,"A_824_852"
"A",78,509,583,0.003,"A_509_583"
"A",78,541,775,0.076,"A_541_775"
"A",78,575,626,0.004,"A_575_626"
"A",78,576,570,0.018,"A_570_576"
"A",78,620,538,0.001,"A_538_620"
"A",78,624,846,0.007,"A_624_846"
"A",78,640,655,0.181,"A_640_655"
"A",78,672,791,0.006,"A_672_791"
"A",78,738,625,0.588,"A_625_738"
"A",78,774,556,0.008,"A_556_774"
"A",78,779,728,0.033,"A_728_779"
"A",78,781,566,0.007,"A_566_781"
"A",78,793,794,0.064,"A_793_794"
"A",78,801,703,0.024,"A_703_801"
"A",78,843,786,0.09,"A_786_843"
"A",79,504,790,0.178,"A_504_790"
"A",79,513,608,0.006,"A_513_608"
"A",79,520,537,0.003,"A_520_537"
"A",79,533,531,0.016,"A_531_533"
"A",79,549,853,0.04,"A_549_853"
"A",79,555,644,0.002,"A_555_644"
"A",79,559,778,0.215,"A_559_778"
"A",79,562,802,0.027,"A_562_802"
"A",79,581,529,0.172,"A_529_581"
"A",79,586,850,0.001,"A_586_850"
"A",79,587,678,0.014,"A_587_678"
"A",79,595,551,0.168,"A_551_595"
"A",79,604,592,0.356,"A_592_604"
"A",79,617,788,0.015,"A_617_788"
"A",79,639,503,0.007,"A_503_639"
"A",79,648,838,0.003,"A_648_838"
"A",79,651,805,0.318,"A_651_805"
"A",79,659,588,0.005,"A_588_659"
"A",79,660,573,0.086,"A_573_660"
"A",79,662,571,0.003,"A_571_662"
"A",79,663,741,0.254,"A_663_741"
"A",79,669,836,0.022,"A_669_836"
"A",79,675,674,0.025,"A_674_675"
"A",79,679,686,0.013,"A_679_686"
"A",79,698,677,0.037,"A_677_698"
"A",79,700,567,0.002,"A_567_700"
"A",79,708,830,0.494,"A_708_830"
"A",79,719,798,0.061,"A_719_798"
"A",79,720,715,0.014,"A_715_720"
"A",79,722,565,0.016,"A_565_722"
"A",79,723,602,0.002,"A_602_723"
"A",79,742,767,0.016,"A_742_767"
"A",79,744,776,0.01,"A_744_776"
"A",79,746,731,0.053,"A_731_746"
"A",79,764,829,0.525,"A_764_829"
"A",79,765,751,0.004,"A_751_765"
"A",79,769,827,0.18,"A_769_827"
"A",79,777,745,0.002,"A_745_777"
"A",79,780,771,0.014,"A_771_780"
"A",79,789,596,0.025,"A_596_789"
"A",79,796,521,0.028,"A_521_796"
"A",79,816,743,0.01,"A_743_816"
"A",79,825,635,0.02,"A_635_825"
"A",79,839,606,0.721,"A_606_839"
"A",79,847,832,0.014,"A_832_847"
"A",79,849,671,0.097,"A_671_849"
"A",80,502,613,0.006,"A_502_613"
"A",80,511,818,0.755,"A_511_818"
"A",80,528,615,0.001,"A_528_615"
"A",80,535,654,0.013,"A_535_654"
"A",80,536,852,0.026,"A_536_852"
"A",80,539,726,0.065,"A_539_726"
"A",80,540,594,0.001,"A_540_594"
"A",80,543,634,0.004,"A_543_634"
"A",80,545,848,0.004,"A_545_848"
"A",80,554,590,0.003,"A_554_590"
"A",80,560,523,0.001,"A_523_560"
"A",80,564,817,0.003,"A_564_817"
"A",80,568,546,0.048,"A_546_568"
"A",80,576,712,0.003,"A_576_712"
"A",80,577,695,0.178,"A_577_695"
"A",80,589,658,0.016,"A_589_658"
"A",80,597,754,0.108,"A_597_754"
"A",80,607,753,0.007,"A_607_753"
"A",80,611,570,0.004,"A_570_611"
"A",80,627,653,0.012,"A_627_653"
"A",80,628,623,0.365,"A_623_628"
"A",80,647,822,0.017,"A_647_822"
"A",80,661,843,0.023,"A_661_843"
"A",80,664,819,0.004,"A_664_819"
"A",80,666,515,0.072,"A_515_666"
"A",80,667,809,0.001,"A_667_809"
"A",80,690,552,0.002,"A_552_690"
"A",80,699,757,0.01,"A_699_757"
"A",80,703,650,0.003,"A_650_703"
"A",80,705,711,0.001,"A_705_711"
"A",80,755,732,0.022,"A_732_755"
"A",80,761,752,0.003,"A_752_761"
"A",80,768,516,0.01,"A_516_768"
"A",80,783,725,0.288,"A_725_783"
"A",80,784,605,0.001,"A_605_784"
"A",80,795,812,0.002,"A_795_812"
"A",80,799,828,0.006,"A_799_828"
"A",80,807,702,0.002,"A_702_807"
"A",80,810,512,0.071,"A_512_810"
"A",80,811,643,0.021,"A_643_811"
"A",80,815,814,0.013,"A_814_815"
"A",80,821,557,0.082,"A_557_821"
"A",80,831,569,0.081,"A_569_831"
"A",80,835,803,0.003,"A_803_835"
"A",80,842,526,0.033,"A_526_842"
"A",80,844,845,0.041,"A_844_845"
"A",81,620,582,0.001,"A_582_620"
"A",81,652,758,0.099,"A_652_758"
"A",81,700,657,0.001,"A_657_700"
"A",81,704,766,0.002,"A_704_766"
"A",81,781,730,0.004,"A_730_781"
"A",81,782,541,0.028,"A_541_782"
"A",82,511,810,0.852,"A_511_810"
"A",82,515,675,0.055,"A_515_675"
"A",82,519,580,0.005,"A_519_580"
"A",82,526,713,0.001,"A_526_713"
"A",82,527,778,0.281,"A_527_778"
"A",82,529,798,0.116,"A_529_798"
"A",82,533,644,0.002,"A_533_644"
"A",82,538,566,0.001,"A_538_566"
"A",82,539,725,0.127,"A_539_725"
"A",82,540,590,0.002,"A_540_590"
"A",82,546,771,0.092,"A_546_771"
"A",82,547,600,0.002,"A_547_600"
"A",82,548,677,0.001,"A_548_677"
"A",82,550,510,0.003,"A_510_550"
"A",82,552,574,0.018,"A_552_574"
"A",82,554,594,0.004,"A_554_594"
"A",82,555,692,0.005,"A_555_692"
"A",82,557,536,0.028,"A_536_557"
"A",82,561,558,0.001,"A_558_561"
"A",82,564,702,0.006,"A_564_702"
"A",82,567,642,0.001,"A_567_642"
"A",82,576,528,0.007,"A_528_576"
"A",82,577,595,0.236,"A_577_595"
"A",82,581,520,0.042,"A_520_581"
"A",82,583,723,0.007,"A_583_723"
"A",82,586,661,0.019,"A_586_661"
"A",82,588,838,0.003,"A_588_838"
"A",82,592,674,0.044,"A_592_674"
"A",82,597,613,0.038,"A_597_613"
"A",82,598,833,0.001,"A_598_833"
"A",82,603,764,0.272,"A_603_764"
"A",82,606,830,0.446,"A_606_830"
"A",82,607,755,0.017,"A_607_755"
"A",82,623,738,0.459,"A_623_738"
"A",82,624,530,0.074,"A_530_624"
"A",82,626,562,0.002,"A_562_626"
"A",82,635,602,0.003,"A_602_635"
"A",82,636,556,0.052,"A_556_636"
"A",82,637,721,0.136,"A_637_721"
"A",82,639,836,0.008,"A_639_836"
"A",82,640,788,0.133,"A_640_788"
"A",82,645,545,0.007,"A_545_645"
"A",82,658,610,0.01,"A_610_658"
"A",82,659,776,0.003,"A_659_776"
"A",82,660,666,0.356,"A_660_666"
"A",82,662,695,0.12,"A_662_695"
"A",82,663,578,0.068,"A_578_663"
"A",82,664,711,0.003,"A_664_711"
"A",82,667,784,0.001,"A_667_784"
"A",82,668,731,0.043,"A_668_731"
"A",82,669,537,0.009,"A_537_669"
"A",82,671,628,0.159,"A_628_671"
"A",82,673,720,0.116,"A_673_720"
"A",82,679,648,0.01,"A_648_679"
"A",82,681,680,0.064,"A_680_681"
"A",82,682,672,0.003,"A_672_682"
"A",82,683,593,0.002,"A_593_683"
"A",82,685,632,0.006,"A_632_685"
"A",82,686,745,0.001,"A_686_745"
"A",82,687,797,0.003,"A_687_797"
"A",82,690,535,0.01,"A_535_690"
"A",82,698,722,0.108,"A_698_722"
"A",82,699,647,0.043,"A_647_699"
"A",82,701,824,0.025,"A_701_824"
"A",82,703,811,0.023,"A_703_811"
"A",82,705,819,0.001,"A_705_819"
"A",82,715,849,0.035,"A_715_849"
"A",82,717,746,0.058,"A_717_746"
"A",82,719,503,0.008,"A_503_719"
"A",82,724,774,0.006,"A_724_774"
"A",82,727,756,0.003,"A_727_756"
"A",82,732,753,0.009,"A_732_753"
"A",82,737,843,0.049,"A_737_843"
"A",82,741,596,0.008,"A_596_741"
"A",82,744,777,0.033,"A_744_777"
"A",82,749,846,0.011,"A_749_846"
"A",82,752,543,0.003,"A_543_752"
"A",82,754,502,0.019,"A_502_754"
"A",82,757,822,0.007,"A_757_822"
"A",82,758,730,0.031,"A_730_758"
"A",82,761,634,0.005,"A_634_761"
"A",82,769,504,0.361,"A_504_769"
"A",82,773,804,0.005,"A_773_804"
"A",82,779,641,0.046,"A_641_779"
"A",82,780,573,0.023,"A_573_780"
"A",82,781,652,0.014,"A_652_781"
"A",82,783,726,0.09,"A_726_783"
"A",82,790,604,0.24,"A_604_790"
"A",82,791,762,0.008,"A_762_791"
"A",82,793,767,0.052,"A_767_793"
"A",82,794,742,0.017,"A_742_794"
"A",82,796,617,0.097,"A_617_796"
"A",82,799,611,0.004,"A_611_799"
"A",82,801,789,0.215,"A_789_801"
"A",82,802,678,0.04,"A_678_802"
"A",82,803,643,0.002,"A_643_803"
"A",82,807,817,0.001,"A_807_817"
"A",82,809,605,0.001,"A_605_809"
"A",82,814,813,0.002,"A_813_814"
"A",82,815,848,0.002,"A_815_848"
"A",82,816,847,0.006,"A_816_847"
"A",82,818,512,0.088,"A_512_818"
"A",82,820,812,0.003,"A_812_820"
"A",82,821,852,0.105,"A_821_852"
"A",82,825,743,0.009,"A_743_825"
"A",82,826,534,0.011,"A_534_826"
"A",82,827,587,0.019,"A_587_827"
"A",82,828,570,0.004,"A_570_828"
"A",82,829,708,0.916,"A_708_829"
"A",82,834,696,0.006,"A_696_834"
"A",82,842,621,0.006,"A_621_842"
"A",82,844,622,0.082,"A_622_844"
"A",82,851,845,0.009,"A_845_851"
