"season","daynum","wteam","wscore","lteam","lscore","wloc","numot","id"
"A",16,511,91,647,57,"H",NA,"A_511_647"
"A",16,515,75,812,67,"H",NA,"A_515_812"
"A",16,606,87,658,67,"H",NA,"A_606_658"
"A",16,670,73,573,65,"H",NA,"A_573_670"
"A",16,721,99,632,68,"H",NA,"A_632_721"
"A",16,842,102,597,86,"A",NA,"A_597_842"
"A",17,603,106,555,57,"H",NA,"A_555_603"
"A",17,789,65,744,62,"H",NA,"A_744_789"
"A",18,511,83,515,73,"A",NA,"A_511_515"
"A",18,606,83,721,72,"H",NA,"A_606_721"
"A",18,670,80,842,62,"H",NA,"A_670_842"
"A",19,603,74,789,49,"H",NA,"A_603_789"
"A",21,708,71,827,63,"N",NA,"A_708_827"
"A",21,758,78,810,69,"N",NA,"A_758_810"
"A",21,829,66,849,58,"N",NA,"A_829_849"
"A",22,708,92,671,70,"N",NA,"A_671_708"
"A",22,810,68,849,57,"N",NA,"A_810_849"
"A",22,829,77,758,65,"N",NA,"A_758_829"
"A",23,511,86,670,79,"N",NA,"A_511_670"
"A",23,559,102,788,76,"N",NA,"A_559_788"
"A",23,603,94,606,72,"N",NA,"A_603_606"
"A",23,628,78,719,51,"N",NA,"A_628_719"
"A",23,758,77,671,71,"N",NA,"A_671_758"
"A",23,827,75,810,71,"N",NA,"A_810_827"
"A",23,829,77,708,75,"N",NA,"A_708_829"
"A",24,577,75,723,55,"N",NA,"A_577_723"
"A",25,511,91,603,81,"N",NA,"A_511_603"
"A",25,518,70,641,60,"N",NA,"A_518_641"
"A",25,533,68,755,65,"A",NA,"A_533_755"
"A",25,575,80,645,59,"H",NA,"A_575_645"
"A",25,577,70,625,64,"N",NA,"A_577_625"
"A",25,592,83,545,65,"H",NA,"A_545_592"
"A",25,599,81,611,69,"H",NA,"A_599_611"
"A",25,606,77,670,61,"N",NA,"A_606_670"
"A",25,610,71,608,61,"N",NA,"A_608_610"
"A",25,613,78,569,72,"H",NA,"A_569_613"
"A",25,628,101,559,95,"N",NA,"A_559_628"
"A",25,629,70,544,45,"H",NA,"A_544_629"
"A",25,635,86,624,85,"N",NA,"A_624_635"
"A",25,640,96,662,84,"N",NA,"A_640_662"
"A",25,667,87,833,83,"N",NA,"A_667_833"
"A",25,668,81,696,58,"H",NA,"A_668_696"
"A",25,673,70,826,66,"N",NA,"A_673_826"
"A",25,680,70,677,60,"H",NA,"A_677_680"
"A",25,698,72,798,59,"N",NA,"A_698_798"
"A",25,701,76,819,56,"H",NA,"A_701_819"
"A",25,719,86,788,68,"N",NA,"A_719_788"
"A",25,742,80,854,58,"N",NA,"A_742_854"
"A",25,751,82,521,79,"A",NA,"A_521_751"
"A",25,753,84,566,80,"A",NA,"A_566_753"
"A",25,754,83,715,63,"H",NA,"A_715_754"
"A",25,757,71,556,47,"H",NA,"A_556_757"
"A",25,769,82,815,64,"H",NA,"A_769_815"
"A",25,778,88,704,72,"H",NA,"A_704_778"
"A",25,780,79,655,70,"N",NA,"A_655_780"
"A",25,783,92,784,60,"H",NA,"A_783_784"
"A",25,801,113,734,72,"H",NA,"A_734_801"
"A",25,807,87,766,70,"N",NA,"A_766_807"
"A",25,818,76,643,72,"H",NA,"A_643_818"
"A",25,825,83,835,65,"N",NA,"A_825_835"
"A",25,830,84,797,65,"H",NA,"A_797_830"
"A",25,841,72,607,67,"A",NA,"A_607_841"
"A",25,846,63,822,61,"N",NA,"A_822_846"
"A",26,504,84,848,69,"H",NA,"A_504_848"
"A",26,512,103,804,77,"H",NA,"A_512_804"
"A",26,518,82,635,71,"N",NA,"A_518_635"
"A",26,527,89,534,49,"H",NA,"A_527_534"
"A",26,535,75,665,44,"H",NA,"A_535_665"
"A",26,536,86,526,71,"H",NA,"A_526_536"
"A",26,539,111,713,83,"H",NA,"A_539_713"
"A",26,541,73,836,53,"A",NA,"A_541_836"
"A",26,546,63,816,60,"A",NA,"A_546_816"
"A",26,552,65,627,62,"H",NA,"A_552_627"
"A",26,559,86,625,52,"N",NA,"A_559_625"
"A",26,562,63,767,59,"A",NA,"A_562_767"
"A",26,567,82,616,75,"H",NA,"A_567_616"
"A",26,574,52,647,45,"H",NA,"A_574_647"
"A",26,577,88,628,81,"N",NA,"A_577_628"
"A",26,579,68,724,57,"A",NA,"A_579_724"
"A",26,589,81,679,79,"A",NA,"A_589_679"
"A",26,599,80,610,73,"H",NA,"A_599_610"
"A",26,602,139,571,73,"H",NA,"A_571_602"
"A",26,608,62,611,59,"N",NA,"A_608_611"
"A",26,622,96,548,79,"A",NA,"A_548_622"
"A",26,623,83,820,80,"H",NA,"A_623_820"
"A",26,624,72,641,65,"N",NA,"A_624_641"
"A",26,636,79,821,68,"H",NA,"A_636_821"
"A",26,637,75,530,72,"H",NA,"A_530_637"
"A",26,639,90,654,73,"H",NA,"A_639_654"
"A",26,651,83,825,74,"N",NA,"A_651_825"
"A",26,653,76,847,72,"A",NA,"A_653_847"
"A",26,659,73,712,55,"A",NA,"A_659_712"
"A",26,666,91,738,76,"N",NA,"A_666_738"
"A",26,669,89,580,68,"A",NA,"A_580_669"
"A",26,672,81,626,78,"H",NA,"A_626_672"
"A",26,673,64,846,55,"N",NA,"A_673_846"
"A",26,675,121,761,78,"H",NA,"A_675_761"
"A",26,676,86,850,60,"H",NA,"A_676_850"
"A",26,678,83,803,71,"H",NA,"A_678_803"
"A",26,685,93,634,68,"H",NA,"A_634_685"
"A",26,692,89,502,87,"H",NA,"A_502_692"
"A",26,695,104,832,78,"H",NA,"A_695_832"
"A",26,698,114,725,106,"N",NA,"A_698_725"
"A",26,701,107,667,72,"H",NA,"A_667_701"
"A",26,704,68,766,51,"N",NA,"A_704_766"
"A",26,717,65,503,54,"H",NA,"A_503_717"
"A",26,719,90,723,89,"N",NA,"A_719_723"
"A",26,729,90,683,65,"H",NA,"A_683_729"
"A",26,732,69,805,60,"H",NA,"A_732_805"
"A",26,737,92,700,78,"H",NA,"A_700_737"
"A",26,740,92,797,77,"H",NA,"A_740_797"
"A",26,741,89,531,71,"A",NA,"A_531_741"
