DUN_a;MOR_a;POM_a;RPI_a;SAG_a;SE_a;WLK_a;BOB_a;RTH_a;WOL_a;COL_a;DOL_a;CNG_a;DC_a;WIL_a;DOK_a;PIG_a;RTR_a;CPR_a;REW_a;STH_a;SPW_a;PGH_a;CPA_a;DUN_b;MOR_b;POM_b;RPI_b;SAG_b;SE_b;WLK_b;BOB_b;RTH_b;WOL_b;COL_b;DOL_b;CNG_b;DC_b;WIL_b;DOK_b;PIG_b;RTR_b;CPR_b;REW_b;STH_b;SPW_b;PGH_b;CPA_b;id;season;team_a;team_b;pred_s;name_a;name_b;sag_a;sag_b;pred_g;pred_g + pred_s
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;70.657030111;69.2012440879;71.9941399718;73.2489098069;71.9440330444;70.4616586299;72.8928826057;71.716666414;69.8089058047;71.7499121326;69.8005667517;70.1908348899;74.8703424778;72.1371644963;65.9271133218;72.2730306627;71.0016824703;70.6592358886;72.5425650093;72.5849606279;73.5658766251;72.107736192;68.1186633141;73.8413240749;S_507_509;S;507;509;0.8768173175;Albany NY;American Univ;-0.9362926344;-0.7044048857;0.2911696563;0.5839934869
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;92.1374236965;87.8470500379;92.7259486613;95.0780481766;94.0372754452;93.7729938809;94.915104718;96.3304202522;95.9082791679;95.3910976704;94.3184589192;94.5069620507;96.0009254122;95.5146417544;91.8419343838;93.6715531695;94.2607603781;92.7085731086;95.5146417544;96.1052269472;97.1819567323;94.8753117624;92.450117809;97.1819567323;S_507_511;S;507;511;0.0817832069;Albany NY;Arizona;-0.9362926344;0.8876584933;0.0236133189;0.0526982629
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;83.067438568;82.2367900942;83.3673486685;82.9238603002;83.8182312132;82.2367900942;83.8283474348;84.6626926685;83.8781921218;83.008422071;83.1856851632;82.9408389695;84.5779655426;84.1273762411;82.9390502277;83.5774653781;83.0000689286;81.694909748;84.3945579015;84.0750151553;84.1933197011;82.2763514758;82.0137448052;84.5594242996;S_507_512;S;507;512;0.3103250578;Albany NY;Arizona St;-0.9362926344;0.1512629115;0.0822641864;0.1962946221
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;85.11840635;86.0794031427;83.7511078338;82.7882893026;83.8774205847;84.1889062279;83.4911711219;85.8465985756;84.6355648481;83.8366336946;85.2825832257;85.1829771323;83.0307355367;83.8013986672;84.9881841746;83.5611154305;84.3945579015;84.8136861803;87.1534345421;83.0738475896;83.6928215803;83.1295883692;86.2423301332;84.2331532086;S_507_521;S;507;521;0.2528269881;Albany NY;Baylor;-0.9362926344;0.1555281628;0.081693127;0.1672600576
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;82.8564003918;83.9713155703;82.4218585124;83.2170063823;83.4798395805;82.3075493673;82.091237393;82.1633127014;81.0947451133;81.2299078121;81.3985932371;81.9201279643;84.2509223253;82.8633556721;81.4376254202;83.9455991921;83.3993375581;84.2103664005;83.1856851632;79.625720257;82.4110837323;80.3506382389;82.20160314;83.327529915;S_507_536;S;507;536;0.3663682734;Albany NY;BYU;-0.9362926344;0.1268780378;0.0855992706;0.225983772
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;70.7291504428;70.4246896346;71.8517227227;69.6668343552;71.3256596634;68.1608065109;72.158865308;70.6724731825;70.4693928548;68.2170521562;68.1832972424;68.4784315632;72.6132562315;68.8614056457;71.1934637769;72.7511719252;70.7176937988;70.3972491149;70.4875573943;66.9535042987;68.9345289302;66.4854595136;70.0714997338;70.0239049994;S_507_538;S;507;538;0.8533375485;Albany NY;Cal Poly SLO;-0.9362926344;-0.7489655526;0.3077977906;0.5805676696
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;86.0494107793;84.7374412118;84.9980020454;87.4612226416;85.2377425165;85.5599553859;85.5069655114;85.4005877999;88.5884811144;88.3089932256;85.2703256983;85.7612740295;85.8091421114;87.0453168951;85.2989597999;85.0275357721;84.919827996;84.7890930954;86.2423301332;89.8727085232;86.5131030548;88.1983592757;85.2580894073;86.4580231363;S_507_549;S;507;549;0.1762324375;Albany NY;Cincinnati;-0.9362926344;0.2535544594;0.0695285436;0.1228804906
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;67.6503916403;68.8542777581;67.1448271091;67.2483304608;68.1924369653;68.5310823345;69.4005973959;68.3975726099;67.7871977726;67.6959543864;68.267727078;67.7056750363;67.4905966771;68.2663187491;66.2080246706;68.6090184164;69.3378892595;67.6012113893;68.7261590965;68.9698830953;69.2084256532;70.9769357348;68.0765550613;66.6574611414;S_507_553;S;507;553;0.8852183728;Albany NY;Coastal Car;-0.9362926344;-0.9747490309;0.3992099195;0.6422141461
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;82.9402197493;82.4218585124;82.2438427948;86.0107987163;83.0769350732;83.6679671781;84.201270215;85.458409869;85.5300382989;84.6050162051;86.7421870365;85.3558506478;82.6547038971;86.2896407139;84.7564290132;82.5302858662;81.8429063924;87.3676060717;82.7733500409;84.1063902446;83.1505825848;84.865600348;85.5706024686;81.6349729047;S_507_556;S;507;556;0.2915178476;Albany NY;Colorado;-0.9362926344;0.0978442953;0.0897296746;0.1906237611
69.515264256;69.2227921929;69.7867381054;69.0184942745;69.4460619235;69.3522971341;69.765639847;68.3438359271;67.3551730067;68.9710522861;69.0385254667;70.3623548169;69.7103970662;68.6977350796;68.8008528955;69.4135825127;69.6160665426;70.4447542591;68.0274726573;66.8670013967;68.0432440077;70.2484470935;68.5275427546;68.5983833852;85.8774011767;87.548017863;85.8201870689;84.9783795752;85.1669844012;85.9092079909;84.592831393;85.0495752455;84.3797447559;85.0770286552;86.5020487652;86.5489997434;84.7850021943;85.2784950176;85.6455985385;85.2887199838;86.5069594029;85.3371243768;85.0770286552;86.9601880532;84.9881841746;85.0949297148;85.9880881384;86.91281934;S_507_559;S;507;559;0.1892373167;Albany NY;Connecticut;-0.9362926344;0.2484555517;0.0701176914;0.129677504
